"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0,0.084001,0.018,0,0,0.014001,0,0,0,0
"PE-A",0.006,1,0.523009,0.168001,0.028,0,0,0.132001,0,0,0
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0,0,0.000056,1,0.310001,0,0,0,0.006,0.037,0.015
"PE-Cy7-A",0,0,0,0,1,0,0,0,0,0,0
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0,0,0,0,0,0,1,0,0,0,0
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0,0,0,0.026,0.008,0,0,0.003,1,0.359,0.09
"Alexa Fluor 700-A",0,0,0,0.041,0.049,0,0,0,0.004,1,0.27
"APC-Cy7-A",0.016,0.010001,0.012001,0.016,0.088,0.012,0.008001,0.019,0.032,0.114,1
